state_name,state_population
Alabama,4779736
Alaska,731007
Arizona,7278717
Arkansas,2915918
California,39512223
Colorado,5029196
Connecticut,3574097
Delaware,897934
Florida,19232875
Georgia,10617343
Hawaii,1000000
Idaho,1567581
Illinois,12741080
Indiana,6480201
Iowa,3046352
Kansas,2885905
Kentucky,4413457
Louisiana,4648794
Maine,1329328
Maryland,5884563
Massachusetts,6892503
Michigan,9884060
Minnesota,5303925
Mississippi,2967297
Missouri,5990411
Montana,1067149
Nebraska,1869038
Nevada,3080156
New Hampshire,1330608
New Jersey,8882190
New Mexico,2096829
New York,129870
North Carolina,10052564
North Dakota,672591
Ohio,11610901
Oklahoma,3751351
Oregon,4076350
Pennsylvania,12702379
Rhode Island,1052567
South Carolina,4961119
South Dakota,814215
Tennessee,6365608
Texas,28218864
Utah,3195397
Vermont,626042
Virginia,5836011
Washington,7614893
West Virginia,1852994
Wisconsin,5686986
Wyomng,576412